kind,model,measured,quality_error,rtf,latency_s,peak_rss_mb,average_rss_mb,cpu_time_s,model_disk_mb,failures
asr,moonshine_small,True,0.25073326432022086,5.18351127206221,21.792525827781194,614.20703125,482.81814904491694,1321.2786458333333,236.25931930541992,0
asr,moonshine_medium,True,0.29188233264320224,6.583039175631648,23.676407311105223,946.80078125,773.1302348986042,1555.540798611111,430.2345018386841,0
asr,whisper_small_en,True,0.06899154589371981,1.3581803982964875,14.561387261110617,517.5234375,418.6720020030032,61.517361111111114,181.2925386428833,0
asr,parakeet_110m,True,0.08447636300897171,0.05018281036975116,2.110740111118907,1112.58984375,426.9166962364939,8.93923611111111,225.32436656951904,0
asr,moonshine_base,True,0.2064527260179434,0.5174451823472648,12.709268083304373,361.12890625,268.2124853047633,79.3125,240.01127243041992,0
tts,pocket,True,0.07146057347670251,1.151685501864004,0.5221779611440273,821.109375,795.9003673101715,17.377604166666668,220.8781452178955,0
tts,kokoro,True,0.017697132616487452,0.7551318617034162,8.279716955556069,1559.9453125,1243.0463025379686,48.46527777777778,313.0551509857178,0
tts,chatterbox,True,0.05075169255276782,3.6493562358802953,32.382194133294334,3221.10546875,2920.0184469788765,108.43489583333333,2860.1452236175537,0
tts,kitten,True,0.07199820788530466,2.869514575585331,33.872475244415305,593.4296875,557.9149903116191,226.40451388888889,77.82555866241455,0
tts,piper,True,0.04457885304659498,0.6072116764826712,2.6968906555104897,450.890625,369.144170186321,51.05815972222222,108.62442111968994,0
